PatentNumber,class,reactants>reagents>production
US04999436,,C1CCOC1.CC(C)(C)[O-].CO[C:17](/[CH:16]=[C:9](\[S:8][CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:20][cH:19]1)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)=[O:18].[K+]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[s:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[cH:16][c:17]2[OH:18])[cH:19][cH:20]1
US06310061B2,,CN(C)C=O.Cl[Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24].O=C([O-])O.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([N:9]([CH3:10])[C@H:11]([CH2:12][N:13]2[CH2:14][CH2:15][C@H:16]([OH:17])[CH2:25]2)[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[cH:32][cH:33]1.[Na+].c1c[nH]cn1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([N:9]([CH3:10])[C@H:11]([CH2:12][N:13]2[CH2:14][CH2:15][C@H:16]([O:17][Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25]2)[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[cH:32][cH:33]1
US07615643B2,,O[CH2:28][CH2:29][Br:30].[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][c:7](-[n:8]2[cH:9][n:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]23)[cH:17][c:18]1[O:19][C@H:20]([CH3:21])[c:22]1[cH:23][cH:24][cH:25][c:26]([OH:27])[c:31]1[Cl:32]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][c:7](-[n:8]2[cH:9][n:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]23)[cH:17][c:18]1[O:19][C@H:20]([CH3:21])[c:22]1[cH:23][cH:24][cH:25][c:26]([O:27][CH2:28][CH2:29][Br:30])[c:31]1[Cl:32]
US09051325B2,,Cl[c:7]1[cH:8][c:9]([Cl:10])[n:11][c:12]([Cl:13])[n:14]1.[CH3:1][C@@H:2]([CH2:3][OH:4])[NH:5][CH3:6]>>[CH3:1][C@H:2]([CH2:3][OH:4])[N:5]([CH3:6])[c:7]1[cH:8][c:9]([Cl:10])[n:11][c:12]([Cl:13])[n:14]1
US04457867,,C1CCOC1.Cl[C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12].O.[CH3:1][CH:2]([CH3:3])[C@H:4]([NH2:5])[C:13](=[O:14])[OH:15].[Na+].[OH-]>>[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:13](=[O:14])[OH:15]
US07812040B2,,CCOC(C)=O.CS(=O)(=O)O[C@H:6]1[CH2:5][C@@H:4]([CH2:3][N:2]([CH3:1])[C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[CH2:22]1.CS(C)=O.NC[C@H]1C[C@@H](O)C1.O.O=C([O-])[O-].[Cs+].[Cs+].[OH:7][c:8]1[cH:9][c:10]([F:11])[c:12]([CH2:13][N:14]2[CH2:15][CH2:16][CH2:17][CH2:18]2)[c:19]([Cl:20])[cH:21]1>>[CH3:1][N:2]([CH2:3][C@H:4]1[CH2:5][C@H:6]([O:7][c:8]2[cH:9][c:10]([F:11])[c:12]([CH2:13][N:14]3[CH2:15][CH2:16][CH2:17][CH2:18]3)[c:19]([Cl:20])[cH:21]2)[CH2:22]1)[C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29]
US07728031B2,,CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CC(Cl)Cl.O=C([O-])O.O=[CH:2][CH3:1].[NH:3]1[CH2:4][C@H:5]2[CH2:6][CH2:7][N:8]([c:9]3[cH:10][cH:11][c:12](-[c:13]4[cH:14][cH:15][c:16](-[n:17]5[n:18][cH:19][cH:20][cH:21][c:22]5=[O:23])[cH:24][cH:25]4)[cH:26][cH:27]3)[C@H:28]2[CH2:29]1.[Na+].[Na+]>>[CH3:1][CH2:2][N:3]1[CH2:4][C@H:5]2[CH2:6][CH2:7][N:8]([c:9]3[cH:10][cH:11][c:12](-[c:13]4[cH:14][cH:15][c:16](-[n:17]5[n:18][cH:19][cH:20][cH:21][c:22]5=[O:23])[cH:24][cH:25]4)[cH:26][cH:27]3)[C@H:28]2[CH2:29]1
US06077822,,Cl.O.[CH3:1][C@H:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]([OH:8])[c:9]2[C:10]([OH:11])=[C:12]2[C:13](=[O:14])[C@:15]3([OH:16])[C:17]([OH:18])=[C:19]([C:20]([NH2:21])=[O:22])[C:23](=[O:24])[C@@H:25]([N:26]([CH3:27])[CH3:28])[C@@H:29]3[C@@H:30]([OH:31])[C@H:32]12>>[CH3:1][C@H:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]([OH:8])[c:9]2[C:10](=[O:11])[C:12]2=[C:13]([OH:14])[C@:15]3([OH:16])[C:17](=[O:18])[C:19]([C:20]([NH2:21])=[O:22])=[C:23]([OH:24])[C@@H:25]([N:26]([CH3:27])[CH3:28])[C@@H:29]3[C@@H:30]([OH:31])[C@H:32]12
US09115079B2,,CO.[BH4-].[Na+].[O:1]=[C:2]([CH2:3][CH:4]1[CH2:5][CH2:6][C:7](=[O:8])[CH2:9][CH2:10]1)[O:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[O:1]=[C:2]([CH2:3][C@H:4]1[CH2:5][CH2:6][C@@H:7]([OH:8])[CH2:9][CH2:10]1)[O:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
US07622492B2,,C1COCCO1.CC(C)(C)OC(=O)[NH:2][N:7]([CH3:1])[c:8]1[cH:9][c:10]([F:11])[cH:12][cH:13][c:14]1[F:15].CCN(CC)CC.CCOC(C)=O.Cl.ClCCCl.O=[C:3]1[CH:4]([C:5](Cl)=[O:6])[C@H:16]2[CH2:17][CH2:18][C@:19]1([CH3:20])[C:21]2([CH3:22])[CH3:23]>>[CH3:1][n:2]1[c:3]2[c:4]([c:5](=[O:6])[n:7]1-[c:8]1[cH:9][c:10]([F:11])[cH:12][cH:13][c:14]1[F:15])[C@H:16]1[CH2:17][CH2:18][C@:19]2([CH3:20])[C:21]1([CH3:22])[CH3:23]
US05057525,,CC(=O)[O:24][c:23]1[c:18]([C:2](=[O:1])[NH:3][C@H:4]2[CH2:5][CH2:6][N:7]([CH2:8][c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[CH2:15][C@H:16]2[OH:17])[cH:19][cH:20][cH:21][cH:22]1.Cl.[Na+].[OH-]>>[O:1]=[C:2]([NH:3][C@H:4]1[CH2:5][CH2:6][N:7]([CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][C@H:16]1[OH:17])[c:18]1[cH:19][cH:20][cH:21][cH:22][c:23]1[OH:24]
US09181229B2,,C1CCOC1.CCN(CC)CC.CN(C)C=O.O=C([O-])O.O=C1CCC(=O)N1Cl.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@H:12]1[CH:13]=[N:25][OH:24].[CH:14]#[C:15][CH2:16][O:17][c:18]1[cH:19][cH:20][cH:21][n:22][cH:23]1.[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@H:12]1[c:13]1[cH:14][c:15]([CH2:16][O:17][c:18]2[cH:19][cH:20][cH:21][n:22][cH:23]2)[o:24][n:25]1
US05292767,,C1CCOC1.CC[O:3][C:2](=[O:1])[C@@H:4]1[CH2:5][S:6][C@@H:7]([CH2:8][SH:9])[CH2:10]1.O.[Li+].[OH-]>>[O:1]=[C:2]([OH:3])[C@@H:4]1[CH2:5][S:6][C@@H:7]([CH2:8][SH:9])[CH2:10]1
US05741795,,CC(C)(C)OC(=O)[N:8]1[CH2:7][C@@H:6]2[C@H:5]([CH2:4][CH2:3][C@@:2]3([CH3:1])[C@H:17]2[CH2:18][C:19](=[O:20])[CH2:21]3)[C@:15]2([CH3:16])[C:9]1=[CH:10][C:11](=[O:12])[CH2:13][CH2:14]2.ClCCl.O=C(O)C(F)(F)F>>[CH3:1][C@:2]12[CH2:3][CH2:4][C@H:5]3[C@@H:6]([CH2:7][NH:8][C:9]4=[CH:10][C:11](=[O:12])[CH2:13][CH2:14][C@:15]34[CH3:16])[C@@H:17]1[CH2:18][C:19](=[O:20])[CH2:21]2
US08691822B2,,CO.[H][H].[Pd].c1ccc(C[N:5](Cc2ccccc2)[CH2:4][C@H:3]([O:2][CH3:1])[CH2:6][N:7]2[CH2:8][CH2:9][N:10]([CH2:11][CH:12]3[CH2:13][CH2:14]3)[CH2:15][CH2:16]2)cc1>>[CH3:1][O:2][C@@H:3]([CH2:4][NH2:5])[CH2:6][N:7]1[CH2:8][CH2:9][N:10]([CH2:11][CH:12]2[CH2:13][CH2:14]2)[CH2:15][CH2:16]1
US05159081,,C(=NC1CCCCC1)=NC1CCCCC1.CCN(CC)CC.CN(C)C=O.Cl.O[C:14](=[O:15])[CH2:16][CH:17]([CH3:18])[CH3:19].On1nnc2ccccc21.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH2:7][CH2:8][NH:9][C:10](=[NH:11])[NH2:12])[NH2:13]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH2:7][CH2:8][NH:9][C:10](=[NH:11])[NH2:12])[NH:13][C:14](=[O:15])[CH2:16][CH:17]([CH3:18])[CH3:19]
US08785468B2,,CC(C)(C)OC(=O)[NH:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[C:10](=[O:11])[NH:12][c:13]1[cH:14][c:15](-[c:16]2[cH:17][cH:18][n:19][cH:20][cH:21]2)[n:22][o:23]1.ClCCl.O=C(O)C(F)(F)F>>[NH2:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[C:10](=[O:11])[NH:12][c:13]1[cH:14][c:15](-[c:16]2[cH:17][cH:18][n:19][cH:20][cH:21]2)[n:22][o:23]1
US05512570,,C=CC[N:4]1[CH2:3][C@@H:2]([CH3:1])[O:29][C@@H:12]([O:13][CH2:14][c:15]2[cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28]2)[C@H:5]1[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.CC#N.O.[Cl-].[Rh].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[CH3:1][C@@H:2]1[CH2:3][NH:4][C@H:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[C@H:12]([O:13][CH2:14][c:15]2[cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28]2)[O:29]1
US05506256,,C1COCCO1.CC(C)(C)OC(=O)[N:26]([CH2:25][C:23]([N:22]1[C@H:18]([C:16]([N:15]2[C@H:11]([CH:9]([CH2:8][O:7][c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:34][cH:33]3)[OH:10])[CH2:12][CH2:13][CH2:14]2)=[O:17])[CH2:19][CH2:20][CH2:21]1)=[O:24])[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1.Cl>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH:9]([OH:10])[C@@H:11]2[CH2:12][CH2:13][CH2:14][N:15]2[C:16](=[O:17])[C@@H:18]2[CH2:19][CH2:20][CH2:21][N:22]2[C:23](=[O:24])[CH2:25][NH:26][c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[cH:33][cH:34]1
US08802659B2,,CC(C)(C)[C@H]1CC[C@H](Oc2ccc3nc(C=O)cc([Br:12])c3c2)CC1.FC(F)(F)[c:11]1[cH:10][c:9]([CH2:8][N:7]2[CH2:6][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:31]2)[n:30][c:29]2[c:13]1[cH:14][c:15]([O:16][C@H:17]1[CH2:18][CH2:19][C@H:20]([C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH2:26]1)[cH:27][cH:28]2>>[CH3:1][O:2][C:3](=[O:4])[CH:5]1[CH2:6][N:7]([CH2:8][c:9]2[cH:10][c:11]([Br:12])[c:13]3[cH:14][c:15]([O:16][C@H:17]4[CH2:18][CH2:19][C@H:20]([C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH2:26]4)[cH:27][cH:28][c:29]3[n:30]2)[CH2:31]1
US08952058B2,,CC(=O)N(C)C.CCN(C(C)C)C(C)C.COC(=O)c1cnc2c(c1)ncn2Cc1ccc2nc(S(C)(=O)=O)sc2c1.CS(=O)[c:20]1[n:19][c:18]2[cH:17][cH:16][c:15]([CH2:14][n:13]3[c:8]4[n:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:10][c:9]4[n:11][cH:12]3)[cH:31][c:30]2[s:29]1.[NH2:21][C@@H:22]1[CH2:23][CH2:24][CH2:25][CH2:26][C@H:27]1[OH:28]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:7][c:8]2[c:9]([cH:10]1)[n:11][cH:12][n:13]2[CH2:14][c:15]1[cH:16][cH:17][c:18]2[n:19][c:20]([NH:21][C@@H:22]3[CH2:23][CH2:24][CH2:25][CH2:26][C@H:27]3[OH:28])[s:29][c:30]2[cH:31]1
US09090559B2,,CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.O[C:9](=[O:10])[c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[c:20]1[OH:21].[CH3:1][O:2][C:3](=[O:4])[C@@H:5]1[CH2:6][C@H:7]([NH2:8])[CH2:22][N:23]1[CH2:24][CH:25]1[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]1>>[CH3:1][O:2][C:3](=[O:4])[C@@H:5]1[CH2:6][C@H:7]([NH:8][C:9](=[O:10])[c:11]2[cH:12][cH:13][c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]3[c:20]2[OH:21])[CH2:22][N:23]1[CH2:24][CH:25]1[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]1
US08685959B2,,C1CCOC1.C[C@@H]1[C@@H](B(Cl)[C@H]2C[C@H]3C[C@@H]([C@@H]2C)C3(C)C)C[C@H]2C[C@@H]1C2(C)C.OCCNCCO.[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]1[Cl:11]>>[CH3:1][C@@H:2]([OH:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]1[Cl:11]
US07842713B2,,CC(C)OC(=O)/N=N/C(=O)O[CH:9](C)[CH3:11].Cl[CH2:10]Cl.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([OH:8])[c:18]2[c:19]([cH:20]1)[O:21][C:22]([CH3:23])([CH3:24])[CH2:25]2.c1ccc(P(c2ccccc2)[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)cc1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][C@@H:9]([CH3:10])[CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:18]2[c:19]([cH:20]1)[O:21][C:22]([CH3:23])([CH3:24])[CH2:25]2
US08044068B2,,C1COCCO1.CC(C)(C)[O-].CCOC(C)=O.Cl.Cl[c:4]1[cH:3][c:2]([CH3:1])[c:30]2[c:26]([n:25]1)[cH:27][s:28][cH:29]2.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[NH2:5][C@H:6]1[CH2:7][CH2:8][N:9]([C:10](=[O:11])[CH2:12][c:13]2[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][cH:23]2)[CH2:24]1.[Na+].[Pd].[Pd]>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][C@H:6]2[CH2:7][CH2:8][N:9]([C:10](=[O:11])[CH2:12][c:13]3[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][cH:23]3)[CH2:24]2)[n:25][c:26]2[cH:27][s:28][cH:29][c:30]12
US07855292B2,,Cl.O[C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][c:12]1[NH:13][S:14](=[O:15])(=[O:16])[c:17]1[cH:18][cH:19][cH:20][c:21]2[n:22][s:23][n:24][c:25]12.[CH3:1][C@@H:2]([NH2:3])[C@@H:26]([OH:27])[c:28]1[cH:29][cH:30][cH:31][c:32]([Br:33])[cH:34]1>>[CH3:1][C@@H:2]([NH:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][c:12]1[NH:13][S:14](=[O:15])(=[O:16])[c:17]1[cH:18][cH:19][cH:20][c:21]2[n:22][s:23][n:24][c:25]12)[C@@H:26]([OH:27])[c:28]1[cH:29][cH:30][cH:31][c:32]([Br:33])[cH:34]1
US07553833B2,,C[Si](C)(C)[O:7][C:6]([CH:5]=[CH:4][O:3][CH2:2][CH3:1])=[CH2:8].Cc1ccccc1.Clc1cccc(/[CH:9]=[C:10]2\[C:11](=[O:12])[NH:13][c:14]3[cH:15][c:16](Cl)[cH:17][cH:18][c:19]32)c1>>[CH3:1][CH2:2][O:3][CH:4]1[CH2:5][C:6](=[O:7])[CH2:8][CH2:9][C:10]12[C:11](=[O:12])[NH:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]12
US08877760B2,,C1COCCO1.CC(=O)[O-].CC(=O)[O-].Cl[c:17]1[c:3]([C:2]#[N:1])[n:4][cH:5][c:6]([NH:7][C@H:8]([CH2:9][CH:10]2[CH2:11][CH2:12]2)[C:13]([NH2:14])=[O:15])[n:16]1.O=C([O-])[O-].[K+].[K+].[NH2:18][c:19]1[cH:20][n:21][c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[cH:28]1.[Pd+2].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>>[N:1]#[C:2][c:3]1[n:4][cH:5][c:6]([NH:7][C@H:8]([CH2:9][CH:10]2[CH2:11][CH2:12]2)[C:13]([NH2:14])=[O:15])[n:16][c:17]1[NH:18][c:19]1[cH:20][n:21][c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[cH:28]1
US07514448B2,,CC(=O)[O-].CN(C)[CH:2]=O.O=P(Cl)(Cl)[Cl:5].[Na+].[O:1]=[C:4]([CH3:3])[c:6]1[cH:7][nH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]12>>[O:1]=[CH:2]/[CH:3]=[C:4](/[Cl:5])[c:6]1[cH:7][nH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]12
US07932251B2,,CC(=O)[O-].CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC.CCOCC.CN(C)C=O.I[c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]1[C:14]([F:15])([F:16])[F:17].O=C([O-])[O-].[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].[Cl-].[K+].[K+].[Pd+2]>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]1[C:14]([F:15])([F:16])[F:17]
US09085555B2,,CCO[C:1](C)=O.[OH:2][CH2:3][C@@H:4]([NH:5][C:6](=[O:7])[C@@H:8]1[CH2:9][C@@:10]([CH3:11])([F:12])[CH2:13][N:14]1[C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[c:22]1[cH:23][cH:24][cH:25][c:26]([Cl:27])[c:28]1[F:29]>>[CH3:1][O:2][CH2:3][C@@H:4]([NH:5][C:6](=[O:7])[C@@H:8]1[CH2:9][C@@:10]([CH3:11])([F:12])[CH2:13][N:14]1[C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[c:22]1[cH:23][cH:24][cH:25][c:26]([Cl:27])[c:28]1[F:29]
US08389697B2,,CO.Cc1ccc(S(=O)(=O)O)cc1.ClCCl.O=C([O-])O.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][O:7][CH2:8][CH:9]1[CH2:10][CH2:11][CH:12]=[CH:13][O:60]1.[Na+].[OH:14][CH2:15][C:16](=[O:17])[C@:18]1([OH:19])[CH2:20][c:21]2[c:22]([OH:23])[c:24]3[c:25]([c:26]([OH:27])[c:28]2[C@@H:29]([O:30][C@H:31]2[CH2:32][C@H:33]4[C@H:34]([O:35][C@@H:36]5[C@@H:37]([O:38][CH3:39])[O:40][CH2:41][CH2:42][N:43]45)[C@H:44]([CH3:45])[O:46]2)[CH2:47]1)[C:48](=[O:49])[c:50]1[c:51]([O:52][CH3:53])[cH:54][cH:55][cH:56][c:57]1[C:58]3=[O:59]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][O:7][CH2:8][CH:9]1[CH2:10][CH2:11][CH2:12][CH:13]([O:14][CH2:15][C:16](=[O:17])[C@:18]2([OH:19])[CH2:20][c:21]3[c:22]([OH:23])[c:24]4[c:25]([c:26]([OH:27])[c:28]3[C@@H:29]([O:30][C@H:31]3[CH2:32][C@H:33]5[C@H:34]([O:35][C@@H:36]6[C@@H:37]([O:38][CH3:39])[O:40][CH2:41][CH2:42][N:43]56)[C@H:44]([CH3:45])[O:46]3)[CH2:47]2)[C:48](=[O:49])[c:50]2[c:51]([O:52][CH3:53])[cH:54][cH:55][cH:56][c:57]2[C:58]4=[O:59])[O:60]1
US08076329B2,,ClCCl.Cl[c:19]1[n:18][cH:17][cH:16][c:15](-[c:14]2[cH:13][cH:12][c:11]([O:10][CH2:9][CH2:8][CH2:7][N:6]3[CH2:5][CH2:4][CH2:3][C@H:2]([CH3:1])[CH2:33]3)[cH:32][cH:31]2)[cH:30]1.[Na].[OH:20][CH2:21][CH2:22][CH2:23][N:24]1[CH2:25][CH2:26][CH2:27][CH2:28][CH2:29]1>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][N:6]([CH2:7][CH2:8][CH2:9][O:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][n:18][c:19]([O:20][CH2:21][CH2:22][CH2:23][N:24]4[CH2:25][CH2:26][CH2:27][CH2:28][CH2:29]4)[cH:30]3)[cH:31][cH:32]2)[CH2:33]1
US05344843,,CO.[H][H].[Pd].c1ccc(C[O:5][C:3]([C@@H:2]([NH2:1])[c:6]2[cH:7][cH:8][c:9]([O:10][CH2:11][CH2:12][O:13][CH:14]3[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]3)[cH:20][cH:21]2)=[O:4])cc1>>[NH2:1][C@H:2]([C:3](=[O:4])[OH:5])[c:6]1[cH:7][cH:8][c:9]([O:10][CH2:11][CH2:12][O:13][CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[cH:20][cH:21]1
US07384931B2,,CC#N.CC(=O)O.CCOC(C)=O.CO[C:26]([C@H:6]([CH2:5][C:3]([O:2][CH3:1])=[O:4])[CH2:7][c:8]1[cH:9][c:10]([Cl:11])[c:12]2[nH:13][n:14][c:15]([Cl:16])[c:17]2[c:18]1[CH2:19]O)=[O:27].O=C([O-])[O-].O=S(Cl)Cl.[K+].[K+].[NH2:20][CH2:21][C:22]([F:23])([F:24])[F:25]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][C@@H:6]1[CH2:7][c:8]2[cH:9][c:10]([Cl:11])[c:12]3[nH:13][n:14][c:15]([Cl:16])[c:17]3[c:18]2[CH2:19][N:20]([CH2:21][C:22]([F:23])([F:24])[F:25])[C:26]1=[O:27]
US09181279B2,,C1CCOC1.C[Sn](C)(C)[CH2:31][CH:30]1[CH2:29][C@H:9]([CH2:10][O:11][Si:12]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)([c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[C:25]([CH3:26])([CH3:27])[CH3:28])[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[C:32]1=O.ClCCl.O=C(O)C(F)(F)F.O=C([O-])[O-].[K+].[K+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:9]([CH2:10][O:11][Si:12]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)([c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[C:25]([CH3:26])([CH3:27])[CH3:28])[CH2:29][CH:30]2[CH2:31][CH:32]12
US04474777,,CC(C)=O.Cl.O.[CH3:1][C@@H:2]1[N:3]=[C:4]([c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[Cl:11])[c:12]2[c:13]([cH:14][cH:15][c:16]([NH2:17])[c:32]2[Br:33])[N:34]([CH3:35])[C:36]1=[O:37].[K+].[K+].[NH2:20][C@H:21]1[CH:22]([OH:23])[O:29][C@H:28]([CH2:30][OH:31])[C@@H:26]([OH:27])[C@@H:24]1[OH:25].[O-][C:18]([O-])=[O:19]>>[CH3:1][C@@H:2]1[N:3]=[C:4]([c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[Cl:11])[c:12]2[c:13]([cH:14][cH:15][c:16]([NH:17][C:18](=[O:19])[NH:20][C@@H:21]([CH:22]=[O:23])[C@@H:24]([OH:25])[C@H:26]([OH:27])[C@H:28]([OH:29])[CH2:30][OH:31])[c:32]2[Br:33])[N:34]([CH3:35])[C:36]1=[O:37]
US07652049B2,,ClCCl.OC(c1cccc(Cl)c1)=[O:33].[CH3:1][O:2][c:3]1[cH:4][c:5]([F:6])[c:7]([CH:8]([CH3:9])[CH3:10])[cH:11][c:12]1-[c:13]1[cH:14][cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21][c:22]1[CH2:23][N:24]1[C:25](=[O:26])[O:27][C@H:28]([c:29]2[cH:30][cH:31][n:32][cH:34][cH:35]2)[C@@H:36]1[CH3:37]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([F:6])[c:7]([CH:8]([CH3:9])[CH3:10])[cH:11][c:12]1-[c:13]1[cH:14][cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21][c:22]1[CH2:23][N:24]1[C:25](=[O:26])[O:27][C@H:28]([c:29]2[cH:30][cH:31][n+:32]([O-:33])[cH:34][cH:35]2)[C@@H:36]1[CH3:37]
